Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,,North Heat Flux,South Heat Flux,Average HF
160,692.1972572,613.6336295,514.1819225,399.9214983,381.8992423,304.661381,233.4929059,177.3900508,150.1762018,133.6105109,132.4498701,117.9520304,,2.011791117,2.33412144,2.172956279
161,707.2050722,659.6511895,558.5547284,432.3681324,404.7052542,323.5486393,243.6945186,184.3545707,155.4987072,136.010896,133.2091454,117.2371548,,2.051548503,2.308552771,2.180050637
162,715.1237856,688.237355,570.4234529,462.1816652,432.6099031,347.023981,266.0137059,195.2188806,164.2671509,142.4148189,140.1486421,126.2225169,,2.060982459,2.22274871,2.141865585
163,735.513943,708.7801595,592.9541141,489.0000828,436.9014891,344.7650716,266.6881518,200.4451062,167.767939,145.0706313,142.1922934,131.5162707,,2.047168452,2.174434906,2.110801679
164,739.230146,691.0028237,586.2769216,487.0560031,427.9713827,337.1807887,265.2350936,197.7046244,166.1894869,143.0315734,139.9500771,129.7633645,,2.022909708,2.182434919,2.102672314
165,710.7451022,681.6248229,575.0061688,484.8617166,432.7547533,339.2483665,271.3440335,202.7851701,168.6871232,142.6728523,139.2321021,125.0557998,,1.890834324,2.190905521,2.040869923
166,714.0653065,690.2907224,556.3959227,464.8779095,426.3877367,340.6086403,277.0963266,210.6656216,177.4687412,151.4245792,146.0621038,127.1667202,,1.871629485,2.218356546,2.044993016
167,715.289476,688.9922141,552.4821495,465.0323205,426.8066293,339.3284832,276.0746435,216.9992987,183.4407599,156.2563416,147.6412533,129.4293868,,1.896562083,2.243611489,2.070086786
168,731.0115366,714.0548445,579.6513277,486.4461169,439.3767966,351.3158025,279.1915408,224.5542822,190.0652116,157.7188198,147.2152626,126.9515874,,2.081535006,2.215846738,2.148690872
169,744.8201077,744.4299251,624.9562323,516.2716132,461.5410205,362.794421,280.0523861,233.586983,192.1590615,158.361443,148.3738355,128.3543337,,2.049526941,2.155768209,2.102647575
170,749.7901016,741.4889299,612.8362777,507.8786436,462.9769575,368.6285333,284.3888343,233.2260657,194.3729141,162.6500723,154.7692208,132.6106709,,2.062330167,2.121885801,2.092107984
171,744.7119901,726.5742176,602.1987861,507.3750447,465.0594146,368.5707432,287.5157332,233.4454444,192.7352098,164.2560694,159.9579374,140.8056097,,2.071764123,2.125964239,2.098864181
172,749.4492327,721.7857239,606.3447594,517.2056736,475.4201703,370.7526946,292.1005443,235.3281392,197.4998169,174.0764388,167.0648532,145.4027432,,1.934971761,2.178670207,2.056820984
173,759.5756946,730.4146232,611.3371942,520.5482116,480.0538308,382.1724845,293.1235975,235.5004239,196.4756031,176.1221859,177.2470781,152.9868606,,1.859163186,2.188866302,2.024014744
